步骤,真实TQI,v2预测,v1预测,TimeMixer
1,2.4,2.4271143366770715,2.5,2.4
2,2.4,2.5373318457622562,2.5,2.4
3,2.4,2.4650958313251503,2.5,2.4
4,2.6,2.471720576105452,2.5,2.4
5,2.3,2.406668763071256,2.5,2.4
6,2.2,2.406932859564916,2.5,2.4
7,2.1,2.4644850779487575,2.5,2.4
8,2.4,2.4898933343685057,2.5,2.4
9,2.2,2.489761280806703,2.5,2.4
10,2.4,2.4212321868834574,2.5,2.4
11,2.0,2.4233243056316027,2.5,2.4
12,2.2,2.492415883939734,2.5,2.4
13,2.0,2.4265463739275273,2.5,2.4
14,2.0,2.540419123257516,2.5,2.4
15,2.0,2.5662534810417617,2.5,2.4
16,2.0,2.4904055210844627,2.5,2.4
17,2.2,2.672439706062825,2.5,2.4
18,2.0,2.627062484159289,2.5,2.4
19,2.0,2.6739766313368936,2.5,2.4
20,2.1,2.6280172901222785,2.5,2.4
21,2.2,2.592140705557056,2.5,2.4
22,2.2,2.702823290022724,2.5,2.4
23,2.4,2.7005478149323743,2.5,2.4
24,2.1,2.675372136137787,2.5,2.4
25,2.2,2.6789894193200934,2.5,2.4
26,2.2,2.570373642480792,2.5,2.4
